"Date","Price","Open","High","Low","Change %"
"Mar 23, 2022","3,779.51","3,760.51","3,792.00","3,732.00","0.61%"
"Mar 22, 2022","3,756.52","3,800.00","3,818.75","3,751.50","-1.04%"
"Mar 21, 2022","3,796.01","3,818.75","3,820.82","3,800.00","-0.49%"
"Mar 18, 2022","3,814.76","3,825.00","3,838.01","3,805.05","-0.16%"
"Mar 17, 2022","3,821.01","3,835.00","3,841.49","3,805.16","-0.26%"
"Mar 16, 2022","3,831.01","3,829.00","3,840.00","3,811.41","0.16%"
"Mar 15, 2022","3,825.01","3,797.60","3,853.96","3,787.25","0.83%"
"Mar 14, 2022","3,793.61","3,820.00","3,830.00","3,771.00","-0.59%"
"Mar 11, 2022","3,816.01","3,822.00","3,847.75","3,805.43","-0.05%"
"Mar 10, 2022","3,818.01","3,743.00","3,838.00","3,743.00","2.11%"
"Mar 09, 2022","3,739.01","3,771.05","3,771.05","3,727.80","-0.74%"
"Mar 08, 2022","3,767.06","3,813.00","3,815.00","3,767.95","-1.10%"
"Mar 07, 2022","3,809.01","3,830.00","3,830.00","3,798.50","-0.44%"
"Mar 04, 2022","3,826.01","3,759.45","3,830.20","3,757.56","1.88%"
"Mar 03, 2022","3,755.45","3,838.00","3,838.00","3,745.60","-2.05%"
"Mar 02, 2022","3,834.01","3,883.00","3,890.70","3,834.59","-1.16%"
"Mar 01, 2022","3,879.01","3,937.00","3,947.00","3,880.55","-1.37%"
"Feb 28, 2022","3,933.01","3,913.54","3,943.00","3,894.21","0.60%"
"Feb 25, 2022","3,909.55","3,927.00","3,927.20","3,900.00","-0.34%"
"Feb 24, 2022","3,923.01","3,913.00","3,979.00","3,911.76","0.36%"
"Feb 23, 2022","3,909.01","3,930.00","3,930.20","3,904.00","-0.43%"
"Feb 22, 2022","3,926.01","3,935.00","3,940.00","3,925.00","-0.13%"
"Feb 21, 2022","3,931.01","3,932.00","3,939.00","3,932.00","0.08%"
"Feb 18, 2022","3,928.01","3,933.75","3,940.48","3,919.30","-0.06%"
"Feb 17, 2022","3,930.35","3,964.41","3,971.56","3,925.30","-0.76%"
"Feb 16, 2022","3,960.41","3,950.99","3,970.75","3,950.99","0.32%"
"Feb 15, 2022","3,947.59","3,944.88","3,956.30","3,933.20","0.16%"
"Feb 14, 2022","3,941.48","3,928.99","3,947.58","3,914.03","0.51%"
"Feb 11, 2022","3,921.42","3,924.00","3,933.41","3,898.00","0.13%"
"Feb 10, 2022","3,916.44","3,937.73","3,939.00","3,900.72","-0.35%"
"Feb 09, 2022","3,930.16","3,948.00","3,957.41","3,927.22","-0.29%"
"Feb 08, 2022","3,941.63","3,965.60","3,983.00","3,937.61","-0.44%"
"Feb 07, 2022","3,959.23","3,952.55","3,974.71","3,943.33","0.33%"
"Feb 04, 2022","3,946.18","3,956.44","3,975.00","3,946.16","-0.10%"
"Feb 03, 2022","3,950.06","3,935.01","3,960.00","3,925.62","0.55%"
"Feb 02, 2022","3,928.64","3,925.50","3,940.00","3,910.00","0.24%"
"Feb 01, 2022","3,919.13","3,947.78","3,947.78","3,913.84","-0.57%"
"Jan 31, 2022","3,941.41","3,958.00","3,970.00","3,932.81","-0.26%"
"Jan 28, 2022","3,951.63","3,963.00","3,995.00","3,952.21","-0.13%"
"Jan 27, 2022","3,956.63","3,930.00","3,971.50","3,924.00","0.83%"
"Jan 26, 2022","3,924.22","3,968.15","3,975.01","3,925.61","-0.99%"
"Jan 25, 2022","3,963.56","3,976.50","4,004.00","3,962.50","-0.21%"
"Jan 24, 2022","3,971.91","3,956.44","3,980.60","3,954.46","0.49%"
"Jan 21, 2022","3,952.44","3,975.00","3,988.00","3,951.60","-0.47%"
"Jan 20, 2022","3,971.01","3,994.35","3,994.35","3,966.50","-0.48%"
"Jan 19, 2022","3,990.36","4,037.20","4,037.20","3,990.00","-1.06%"
"Jan 18, 2022","4,033.20","4,007.25","4,041.75","4,004.51","0.75%"
"Jan 17, 2022","4,003.26","4,007.25","4,007.25","4,007.25","0.00%"
"Jan 14, 2022","4,003.26","3,967.41","4,017.50","3,954.00","1.01%"
"Jan 13, 2022","3,963.41","3,974.50","3,987.17","3,941.46","-0.18%"
"Jan 12, 2022","3,970.51","3,991.91","3,996.00","3,961.67","-0.44%"
"Jan 11, 2022","3,987.91","4,051.05","4,051.05","3,991.27","-1.46%"
"Jan 10, 2022","4,047.06","4,051.05","4,052.64","4,046.00","0.00%"
"Jan 07, 2022","4,047.06","4,034.50","4,059.98","4,024.00","0.41%"
"Jan 06, 2022","4,030.51","4,025.50","4,065.00","4,023.88","0.21%"
"Jan 05, 2022","4,022.10","4,080.20","4,081.09","4,014.00","-1.34%"
"Jan 04, 2022","4,076.80","4,070.00","4,091.50","4,067.97","0.25%"
